City,Latitude,Degrees From Equator,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Turan,16.0678,16.0678,108.2208,32.0,70.0,20.0,5.14
Rikitea,-23.1203,23.1203,-134.9692,26.0,74.0,100.0,7.05
Saint-Philippe,-21.3585,21.3585,55.7679,25.0,69.0,0.0,7.72
Karratha,-20.7377,20.7377,116.8463,33.0,18.0,0.0,6.25
Port Elizabeth,-33.918,33.918,25.5701,13.0,100.0,75.0,2.57
Lima,-12.0432,12.0432,-77.0282,18.0,88.0,75.0,3.6
Georgetown,5.4112,5.4112,100.3354,30.0,74.0,40.0,2.57
Mahebourg,-20.4081,20.4081,57.7,26.0,94.0,75.0,6.17
Vaini,-21.2,21.2,-175.2,27.0,89.0,40.0,1.54
Pacific Grove,36.6177,36.6177,-121.9166,11.0,71.0,90.0,1.52
Barrow,71.2906,71.2906,-156.7887,-3.0,80.0,1.0,2.57
Diebougou,10.9667,10.9667,-3.25,29.0,45.0,87.0,2.96
Mataura,-46.1927,46.1927,168.8643,12.0,80.0,61.0,1.79
East London,-33.0153,33.0153,27.9116,15.0,82.0,0.0,1.54
Lufilufi,-13.8745,13.8745,-171.5986,26.0,94.0,75.0,4.75
Khatanga,71.9667,71.9667,102.5,1.0,97.0,100.0,7.93
Vestmannaeyjar,63.4427,63.4427,-20.2734,8.0,90.0,100.0,6.85
Carnarvon,-24.8667,24.8667,113.6333,28.0,54.0,1.0,4.12
Kjopsvik,68.097,68.097,16.3742,1.0,80.0,90.0,3.09
Biu,10.6129,10.6129,12.1946,25.0,59.0,69.0,3.32
Kieta,-6.2167,6.2167,155.6333,28.0,73.0,84.0,2.03
Boa Esperanca Do Sul,-21.9925,21.9925,-48.3908,14.0,81.0,0.0,2.0
Ribeira Grande,38.5167,38.5167,-28.7,15.0,78.0,99.0,12.7
Fortuna,40.5982,40.5982,-124.1573,9.0,93.0,90.0,4.63
Kesinga,20.2,20.2,83.2333,39.0,15.0,1.0,1.44
Butaritari,3.0707,3.0707,172.7902,28.0,75.0,100.0,3.38
Monroe,43.1501,43.1501,-77.6831,9.0,50.0,1.0,6.69
Atuona,-9.8,9.8,-139.0333,27.0,76.0,22.0,10.62
Cap Malheureux,-19.9842,19.9842,57.6142,27.0,77.0,85.0,5.36
Thompson,55.7435,55.7435,-97.8558,-12.0,72.0,20.0,0.22
Alice Springs,-23.7,23.7,133.8833,24.0,22.0,0.0,5.66
Stornoway,58.2093,58.2093,-6.3865,4.0,81.0,0.0,2.06
Bara,10.3744,10.3744,10.7288,27.0,63.0,99.0,5.63
Hilo,19.7297,19.7297,-155.09,21.0,73.0,90.0,2.65
Iquique,-20.2208,20.2208,-70.1431,18.0,59.0,0.0,2.57
Ushuaia,-54.8,54.8,-68.3,5.0,93.0,75.0,1.54
Tupik,54.4253,54.4253,119.9327,9.0,33.0,4.0,5.18
Basi,26.8333,26.8333,76.0333,29.0,15.0,3.0,1.54
Murakeresztur,46.3642,46.3642,16.8818,6.0,87.0,44.0,1.54
Kenora,49.8167,49.8167,-94.4337,-3.0,54.0,40.0,2.06
Esterhazy,50.65,50.65,-102.0843,-6.0,58.0,27.0,1.03
Kavieng,-2.5744,2.5744,150.7967,28.0,72.0,92.0,1.64
Port Blair,11.6667,11.6667,92.75,32.0,66.0,40.0,2.57
Najran,17.4924,17.4924,44.1277,28.0,17.0,0.0,2.06
